E,n,k,eps1,eps2,elf
44.6,0.9,0.05,0.8,0.08,0.13
44.7,0.9,0.04,0.8,0.08,0.12
44.8,0.9,0.04,0.8,0.08,0.12
44.9,0.9,0.04,0.8,0.08,0.12
45.0,0.9,0.04,0.8,0.08,0.12
45.1,0.9,0.04,0.8,0.08,0.12
45.2,0.9,0.04,0.81,0.08,0.12
45.3,0.9,0.04,0.81,0.08,0.12
45.4,0.9,0.04,0.81,0.08,0.12
45.5,0.9,0.04,0.81,0.08,0.12
45.6,0.9,0.04,0.81,0.08,0.11
45.7,0.9,0.04,0.81,0.08,0.11
45.8,0.9,0.04,0.81,0.07,0.11
45.9,0.9,0.04,0.81,0.07,0.11
46.0,0.9,0.04,0.81,0.07,0.11
46.1,0.9,0.04,0.81,0.07,0.11
46.2,0.9,0.04,0.82,0.07,0.11
46.3,0.9,0.04,0.82,0.07,0.11
46.4,0.91,0.04,0.82,0.07,0.11
46.5,0.91,0.04,0.82,0.07,0.11
46.6,0.91,0.04,0.82,0.07,0.11
46.7,0.91,0.04,0.82,0.07,0.11
46.8,0.91,0.04,0.82,0.07,0.1
46.9,0.91,0.04,0.82,0.07,0.1
47.0,0.91,0.04,0.82,0.07,0.1
47.1,0.91,0.04,0.82,0.07,0.1
47.2,0.91,0.04,0.82,0.07,0.1
47.3,0.91,0.04,0.83,0.07,0.1
47.4,0.91,0.04,0.83,0.07,0.1
47.5,0.91,0.04,0.83,0.07,0.1
47.6,0.91,0.04,0.83,0.07,0.1
47.7,0.91,0.04,0.83,0.07,0.1
47.8,0.91,0.04,0.83,0.07,0.1
47.9,0.91,0.04,0.83,0.07,0.1
48.0,0.91,0.04,0.83,0.07,0.1
48.1,0.91,0.04,0.83,0.07,0.1
48.2,0.91,0.04,0.83,0.07,0.1
48.3,0.91,0.04,0.83,0.07,0.1
48.4,0.91,0.04,0.83,0.07,0.1
48.5,0.91,0.04,0.83,0.07,0.1
48.6,0.91,0.04,0.83,0.07,0.1
48.7,0.91,0.04,0.83,0.07,0.1
48.8,0.91,0.04,0.83,0.07,0.1
48.9,0.91,0.04,0.83,0.07,0.1
49.0,0.91,0.04,0.83,0.07,0.1
49.1,0.91,0.04,0.84,0.07,0.1
49.2,0.91,0.04,0.84,0.07,0.1
49.3,0.91,0.04,0.84,0.07,0.1
49.4,0.92,0.04,0.84,0.07,0.1
49.5,0.92,0.04,0.84,0.07,0.1
49.6,0.92,0.04,0.84,0.07,0.09
49.7,0.92,0.04,0.84,0.07,0.09
49.8,0.92,0.04,0.84,0.07,0.09
49.9,0.92,0.04,0.84,0.07,0.09
50.0,0.92,0.04,0.84,0.07,0.09
50.1,0.92,0.04,0.84,0.07,0.09
50.2,0.92,0.04,0.84,0.06,0.09
50.3,0.92,0.04,0.84,0.06,0.09
50.4,0.92,0.03,0.84,0.06,0.09
50.5,0.92,0.03,0.84,0.06,0.09
50.6,0.92,0.03,0.84,0.06,0.09
50.7,0.92,0.03,0.84,0.06,0.09
50.8,0.92,0.03,0.84,0.06,0.09
50.9,0.92,0.03,0.84,0.06,0.09
