E,n,k,eps1,eps2,elf
18.1,0.89,0.52,0.53,0.93,0.81
18.2,0.89,0.52,0.53,0.92,0.82
18.3,0.89,0.51,0.53,0.91,0.82
18.4,0.89,0.51,0.53,0.9,0.83
18.5,0.88,0.5,0.53,0.89,0.83
18.6,0.88,0.5,0.53,0.88,0.84
18.7,0.88,0.49,0.53,0.87,0.84
18.8,0.88,0.49,0.53,0.86,0.84
18.9,0.88,0.49,0.53,0.85,0.85
19.0,0.87,0.48,0.53,0.84,0.85
19.1,0.87,0.48,0.53,0.83,0.85
19.2,0.87,0.47,0.53,0.82,0.86
19.3,0.87,0.47,0.53,0.81,0.86
19.4,0.87,0.47,0.53,0.81,0.86
19.5,0.86,0.46,0.53,0.8,0.87
19.6,0.86,0.46,0.53,0.79,0.87
19.7,0.86,0.45,0.53,0.78,0.87
19.8,0.86,0.45,0.53,0.77,0.88
19.9,0.86,0.45,0.53,0.76,0.88
20.0,0.85,0.44,0.53,0.76,0.88
20.1,0.85,0.44,0.54,0.75,0.88
20.2,0.85,0.43,0.54,0.74,0.89
20.3,0.85,0.43,0.54,0.73,0.89
20.4,0.85,0.43,0.54,0.72,0.89
20.5,0.85,0.42,0.54,0.72,0.89
20.6,0.85,0.42,0.54,0.71,0.89
20.7,0.84,0.41,0.54,0.7,0.9
20.8,0.84,0.41,0.54,0.69,0.9
20.9,0.84,0.41,0.54,0.69,0.9
21.0,0.84,0.4,0.54,0.68,0.9
21.1,0.84,0.4,0.54,0.67,0.9
21.2,0.84,0.4,0.55,0.66,0.9
21.3,0.84,0.39,0.55,0.66,0.9
21.4,0.84,0.39,0.55,0.65,0.9
21.5,0.84,0.38,0.55,0.64,0.9
21.6,0.83,0.38,0.55,0.64,0.9
21.7,0.83,0.38,0.55,0.63,0.9
21.8,0.83,0.37,0.55,0.62,0.9
21.9,0.83,0.37,0.56,0.62,0.89
22.0,0.83,0.37,0.56,0.61,0.89
22.1,0.83,0.36,0.56,0.6,0.89
22.2,0.83,0.36,0.56,0.6,0.89
22.3,0.83,0.36,0.56,0.59,0.89
22.4,0.83,0.35,0.56,0.58,0.89
22.5,0.83,0.35,0.57,0.58,0.88
22.6,0.83,0.35,0.57,0.57,0.88
22.7,0.83,0.34,0.57,0.57,0.88
22.8,0.83,0.34,0.57,0.56,0.87
22.9,0.83,0.34,0.57,0.56,0.87
23.0,0.83,0.33,0.58,0.55,0.87
23.1,0.83,0.33,0.58,0.55,0.87
23.2,0.83,0.33,0.58,0.54,0.86
23.3,0.83,0.32,0.58,0.54,0.86
23.4,0.83,0.32,0.58,0.53,0.86
23.5,0.83,0.32,0.58,0.53,0.85
23.6,0.83,0.32,0.58,0.52,0.85
23.7,0.83,0.31,0.59,0.52,0.85
23.8,0.83,0.31,0.59,0.51,0.84
23.9,0.83,0.31,0.59,0.51,0.84
24.0,0.83,0.31,0.59,0.51,0.84
24.1,0.83,0.3,0.59,0.5,0.83
24.2,0.83,0.3,0.59,0.5,0.83
24.3,0.83,0.3,0.59,0.49,0.83
24.4,0.83,0.3,0.6,0.49,0.82
24.5,0.83,0.29,0.6,0.48,0.82
24.6,0.83,0.29,0.6,0.48,0.82
24.7,0.83,0.29,0.6,0.48,0.81
24.8,0.83,0.29,0.6,0.47,0.81
24.9,0.83,0.28,0.6,0.47,0.81
25.0,0.83,0.28,0.6,0.46,0.8
25.1,0.83,0.28,0.6,0.46,0.8
25.2,0.83,0.28,0.61,0.46,0.79
25.3,0.83,0.27,0.61,0.45,0.79
25.4,0.83,0.27,0.61,0.45,0.79
25.5,0.83,0.27,0.61,0.44,0.78
25.6,0.82,0.27,0.61,0.44,0.78
25.7,0.82,0.26,0.61,0.44,0.77
25.8,0.82,0.26,0.61,0.43,0.77
25.9,0.82,0.26,0.61,0.43,0.76
26.0,0.82,0.26,0.61,0.42,0.76
26.1,0.82,0.25,0.62,0.42,0.76
26.2,0.82,0.25,0.62,0.42,0.75
26.3,0.82,0.25,0.62,0.41,0.75
26.4,0.82,0.25,0.62,0.41,0.74
26.5,0.83,0.24,0.62,0.4,0.74
26.6,0.83,0.24,0.62,0.4,0.73
26.7,0.83,0.24,0.62,0.4,0.72
26.8,0.83,0.24,0.63,0.39,0.72
26.9,0.83,0.24,0.63,0.39,0.71
27.0,0.83,0.23,0.63,0.38,0.71
27.1,0.83,0.23,0.63,0.38,0.7
27.2,0.83,0.23,0.63,0.38,0.7
27.3,0.83,0.23,0.63,0.37,0.69
27.4,0.83,0.22,0.63,0.37,0.69
27.5,0.83,0.22,0.64,0.37,0.68
27.6,0.83,0.22,0.64,0.36,0.67
27.7,0.83,0.22,0.64,0.36,0.67
27.8,0.83,0.22,0.64,0.36,0.66
27.9,0.83,0.21,0.64,0.35,0.66
28.0,0.83,0.21,0.64,0.35,0.65
28.1,0.83,0.21,0.65,0.35,0.65
28.2,0.83,0.21,0.65,0.35,0.64
28.3,0.83,0.21,0.65,0.34,0.63
28.4,0.83,0.2,0.65,0.34,0.63
28.5,0.83,0.2,0.65,0.34,0.62
28.6,0.83,0.2,0.65,0.33,0.62
28.7,0.83,0.2,0.66,0.33,0.61
28.8,0.83,0.2,0.66,0.33,0.61
28.9,0.84,0.2,0.66,0.33,0.6
29.0,0.84,0.19,0.66,0.32,0.6
29.1,0.84,0.19,0.66,0.32,0.59
29.2,0.84,0.19,0.66,0.32,0.59
29.3,0.84,0.19,0.67,0.32,0.58
29.4,0.84,0.19,0.67,0.31,0.58
29.5,0.84,0.19,0.67,0.31,0.57
29.6,0.84,0.18,0.67,0.31,0.57
29.7,0.84,0.18,0.67,0.31,0.56
29.8,0.84,0.18,0.67,0.31,0.56
29.9,0.84,0.18,0.67,0.3,0.56
30.0,0.84,0.18,0.68,0.3,0.55
30.1,0.84,0.18,0.68,0.3,0.55
30.2,0.84,0.18,0.68,0.3,0.54
30.3,0.84,0.18,0.68,0.3,0.54
30.4,0.84,0.17,0.68,0.29,0.53
30.5,0.84,0.17,0.68,0.29,0.53
30.6,0.84,0.17,0.68,0.29,0.53
30.7,0.84,0.17,0.68,0.29,0.52
30.8,0.84,0.17,0.69,0.28,0.52
30.9,0.85,0.17,0.69,0.28,0.51
31.0,0.85,0.17,0.69,0.28,0.51
31.1,0.85,0.16,0.69,0.28,0.51
31.2,0.85,0.16,0.69,0.28,0.5
31.3,0.85,0.16,0.69,0.27,0.5
31.4,0.85,0.16,0.69,0.27,0.49
31.5,0.85,0.16,0.69,0.27,0.49
31.6,0.85,0.16,0.69,0.27,0.49
31.7,0.85,0.16,0.69,0.27,0.48
31.8,0.85,0.16,0.7,0.26,0.48
31.9,0.85,0.15,0.7,0.26,0.47
32.0,0.85,0.15,0.7,0.26,0.47
32.1,0.85,0.15,0.7,0.26,0.47
32.2,0.85,0.15,0.7,0.26,0.46
32.3,0.85,0.15,0.7,0.25,0.46
32.4,0.85,0.15,0.7,0.25,0.45
32.5,0.85,0.15,0.7,0.25,0.45
