E,n,k,eps1,eps2,elf
19.6,0.76,0.42,0.4,0.65,1.12
19.7,0.76,0.42,0.4,0.64,1.12
19.8,0.76,0.42,0.4,0.63,1.13
19.9,0.76,0.41,0.4,0.62,1.13
20.0,0.76,0.41,0.4,0.62,1.13
20.1,0.75,0.4,0.41,0.61,1.14
20.2,0.75,0.4,0.41,0.6,1.14
20.3,0.75,0.39,0.41,0.59,1.14
20.4,0.75,0.39,0.41,0.58,1.14
20.5,0.75,0.38,0.42,0.58,1.14
20.6,0.75,0.38,0.42,0.57,1.14
20.7,0.75,0.37,0.42,0.56,1.14
20.8,0.75,0.37,0.43,0.56,1.13
20.9,0.75,0.37,0.43,0.55,1.13
21.0,0.75,0.36,0.43,0.54,1.13
21.1,0.75,0.36,0.44,0.54,1.12
21.2,0.75,0.35,0.44,0.53,1.12
21.3,0.75,0.35,0.44,0.52,1.11
21.4,0.75,0.34,0.45,0.52,1.11
21.5,0.75,0.34,0.45,0.51,1.1
21.6,0.75,0.34,0.45,0.51,1.1
21.7,0.75,0.33,0.46,0.5,1.09
21.8,0.75,0.33,0.46,0.5,1.09
21.9,0.75,0.33,0.46,0.49,1.08
22.0,0.75,0.32,0.46,0.49,1.07
22.1,0.76,0.32,0.47,0.48,1.07
22.2,0.76,0.32,0.47,0.48,1.06
22.3,0.76,0.31,0.47,0.48,1.06
22.4,0.76,0.31,0.47,0.47,1.05
22.5,0.76,0.31,0.48,0.47,1.05
22.6,0.76,0.31,0.48,0.46,1.04
22.7,0.76,0.3,0.48,0.46,1.04
22.8,0.76,0.3,0.48,0.45,1.03
22.9,0.76,0.3,0.49,0.45,1.03
23.0,0.76,0.29,0.49,0.44,1.02
23.1,0.76,0.29,0.49,0.44,1.02
23.2,0.76,0.29,0.49,0.43,1.01
23.3,0.76,0.28,0.49,0.43,1.0
23.4,0.76,0.28,0.5,0.43,1.0
23.5,0.76,0.28,0.5,0.42,0.99
23.6,0.76,0.28,0.5,0.42,0.98
23.7,0.76,0.27,0.5,0.41,0.98
23.8,0.76,0.27,0.5,0.41,0.97
23.9,0.76,0.27,0.51,0.41,0.96
24.0,0.76,0.26,0.51,0.4,0.96
24.1,0.76,0.26,0.51,0.4,0.95
24.2,0.76,0.26,0.51,0.39,0.94
24.3,0.76,0.26,0.51,0.39,0.93
24.4,0.76,0.25,0.52,0.39,0.93
24.5,0.76,0.25,0.52,0.38,0.92
24.6,0.76,0.25,0.52,0.38,0.91
24.7,0.76,0.24,0.52,0.37,0.9
24.8,0.76,0.24,0.52,0.37,0.9
24.9,0.76,0.24,0.53,0.37,0.89
25.0,0.76,0.24,0.53,0.36,0.88
25.1,0.77,0.23,0.53,0.36,0.87
25.2,0.77,0.23,0.53,0.36,0.87
25.3,0.77,0.23,0.53,0.35,0.86
25.4,0.77,0.23,0.54,0.35,0.85
25.5,0.77,0.23,0.54,0.35,0.84
25.6,0.77,0.22,0.54,0.34,0.84
25.7,0.77,0.22,0.54,0.34,0.83
25.8,0.77,0.22,0.54,0.34,0.82
25.9,0.77,0.22,0.55,0.33,0.81
26.0,0.77,0.21,0.55,0.33,0.81
26.1,0.77,0.21,0.55,0.33,0.8
26.2,0.77,0.21,0.55,0.32,0.79
26.3,0.77,0.21,0.55,0.32,0.78
26.4,0.77,0.2,0.55,0.32,0.78
26.5,0.77,0.2,0.56,0.31,0.77
26.6,0.77,0.2,0.56,0.31,0.76
26.7,0.77,0.2,0.56,0.31,0.75
26.8,0.77,0.2,0.56,0.3,0.75
26.9,0.77,0.19,0.56,0.3,0.74
27.0,0.77,0.19,0.56,0.3,0.73
27.1,0.78,0.19,0.57,0.29,0.72
27.2,0.78,0.19,0.57,0.29,0.72
27.3,0.78,0.19,0.57,0.29,0.71
27.4,0.78,0.18,0.57,0.28,0.7
27.5,0.78,0.18,0.57,0.28,0.69
27.6,0.78,0.18,0.57,0.28,0.69
27.7,0.78,0.18,0.57,0.28,0.68
27.8,0.78,0.17,0.58,0.27,0.67
27.9,0.78,0.17,0.58,0.27,0.66
28.0,0.78,0.17,0.58,0.27,0.65
28.1,0.78,0.17,0.58,0.26,0.65
